,current_station,to_station,departure_timestamp,departure_time,current_time,current_date
0,finch_station,Downsview Station,13:50:07,1:50p,13:49:04,2018-06-02
1,finch_station,Downsview Station,13:54:10,1:54p,13:49:04,2018-06-02
2,finch_station,Downsview Station,13:58:13,1:58p,13:49:04,2018-06-02
3,north_york_centre_station,Finch Station,13:49:43,1:49p,13:49:04,2018-06-02
4,north_york_centre_station,Finch Station,13:53:46,1:53p,13:49:04,2018-06-02
5,north_york_centre_station,Finch Station,13:57:49,1:57p,13:49:04,2018-06-02
6,north_york_centre_station,Downsview Station,13:52:42,1:52p,13:49:04,2018-06-02
7,north_york_centre_station,Downsview Station,13:56:45,1:56p,13:49:04,2018-06-02
8,north_york_centre_station,Downsview Station,14:00:48,2:00p,13:49:04,2018-06-02
9,sheppard-yonge_station,Don Mills Station,13:51:09,1:51p,13:49:04,2018-06-02
10,sheppard-yonge_station,Don Mills Station,13:56:39,1:56p,13:49:04,2018-06-02
11,sheppard-yonge_station,Don Mills Station,14:02:09,2:02p,13:49:04,2018-06-02
12,sheppard-yonge_station,Downsview Station,13:50:15,1:50p,13:49:04,2018-06-02
13,sheppard-yonge_station,Finch Station,13:52:07,1:52p,13:49:04,2018-06-02
14,sheppard-yonge_station,Downsview Station,13:54:18,1:54p,13:49:04,2018-06-02
15,sheppard-yonge_station,Finch Station,13:56:10,1:56p,13:49:04,2018-06-02
16,sheppard-yonge_station,Downsview Station,13:58:21,1:58p,13:49:04,2018-06-02
17,sheppard-yonge_station,Finch Station,14:00:13,2:00p,13:49:04,2018-06-02
18,york_mills_station,Downsview Station,13:49:49,1:49p,13:49:04,2018-06-02
19,york_mills_station,Finch Station,13:52:34,1:52p,13:49:04,2018-06-02
20,york_mills_station,Downsview Station,13:53:52,1:53p,13:49:04,2018-06-02
21,york_mills_station,Finch Station,13:56:37,1:56p,13:49:04,2018-06-02
22,york_mills_station,Downsview Station,13:57:55,1:57p,13:49:04,2018-06-02
23,york_mills_station,Finch Station,14:00:40,2:00p,13:49:04,2018-06-02
24,lawrence_station,Downsview Station,13:49:56,1:49p,13:49:04,2018-06-02
25,lawrence_station,Finch Station,13:52:29,1:52p,13:49:04,2018-06-02
26,lawrence_station,Downsview Station,13:53:59,1:53p,13:49:04,2018-06-02
27,lawrence_station,Finch Station,13:56:32,1:56p,13:49:04,2018-06-02
